,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
106,0,1,2,3,0,4,1,1,2,1,2,1,5,1,3,0,2,0,13,19
107,0,1,0,1,0,4,1,1,8,0,5,5,1,13,10,12,8,14,16,0
108,0,1,0,1,3,0,0,0,4,2,8,6,0,8,4,6,5,1,3,2
109,0,1,2,3,2,5,5,3,3,8,2,10,5,1,6,0,1,6,17,17
110,0,0,1,2,3,0,0,0,4,7,8,6,6,7,4,1,5,16,5,13
111,0,1,0,1,0,5,5,1,3,1,0,8,8,2,3,15,2,2,10,8
112,0,0,1,2,3,0,0,0,4,7,8,6,6,7,4,1,11,16,5,13
113,0,0,1,2,1,1,6,2,1,7,3,3,2,5,2,11,7,5,14,9
114,0,1,2,3,2,5,5,3,3,6,10,10,5,1,6,0,1,6,17,17
115,0,1,2,3,2,4,1,1,2,8,2,1,5,1,1,0,16,0,4,6
116,0,0,1,2,3,0,0,0,4,7,8,6,6,7,4,1,5,16,5,13
117,0,1,2,3,2,2,3,6,7,4,6,7,4,6,9,5,6,8,8,14
118,0,1,2,3,0,4,1,1,2,8,2,1,5,13,1,12,14,0,13,19
119,0,1,0,1,0,4,4,4,0,2,4,9,8,8,0,8,4,17,0,10
120,0,1,2,3,2,5,5,3,3,1,2,8,5,1,6,15,1,2,17,17
121,0,1,2,3,2,5,5,3,2,1,2,8,5,1,3,15,2,2,17,17
122,0,1,0,1,3,0,4,4,0,2,4,9,0,8,0,6,4,1,3,2
123,0,1,2,3,2,2,3,6,2,8,2,1,4,6,1,0,16,6,4,6
124,0,1,2,3,0,2,3,1,2,8,2,1,5,13,1,12,16,0,4,6
125,0,1,0,1,3,0,4,4,0,2,4,0,7,8,0,6,4,17,0,18
126,0,1,0,1,3,0,4,4,0,2,4,0,7,8,0,8,3,7,1,10
127,0,1,0,1,3,0,4,4,0,2,4,9,7,8,0,6,4,17,0,18
128,0,1,0,1,2,5,5,3,3,6,0,9,8,2,6,15,4,2,10,8
129,0,1,0,1,0,4,4,4,0,0,4,0,7,0,14,2,3,7,1,4
130,0,1,0,1,0,4,4,4,0,1,0,8,7,0,3,8,8,11,11,10
131,0,1,0,1,0,4,1,1,8,0,5,5,1,13,10,12,8,14,16,0
132,0,0,1,2,3,0,0,0,4,7,8,6,6,7,4,10,11,12,18,12
133,0,1,2,3,2,5,5,3,2,8,2,1,5,1,1,0,16,6,17,17
134,0,1,0,1,0,4,1,1,8,0,5,5,1,13,10,12,8,14,13,0
135,0,1,2,3,2,5,5,3,2,8,2,1,5,1,1,0,16,6,4,17
136,0,1,0,1,0,4,4,4,0,2,0,9,8,2,0,6,4,17,0,18
137,0,1,0,1,0,4,1,1,8,0,5,5,1,13,10,12,14,14,13,0
