Beta,Features
-88522785595.0934,Week_Num_19
-88522785514.81313,Week_Num_20
-88522785392.20555,Week_Num_21
-88522785417.53564,Week_Num_22
-88522785334.80104,Week_Num_23
-88522785266.35193,Week_Num_24
-88522785331.80093,Week_Num_25
-88522785389.15916,Week_Num_26
-88522785462.6069,Week_Num_27
-88522785474.7399,Week_Num_28
-88522785383.13828,Week_Num_29
-88522785170.5443,Week_Num_30
-88522785325.6642,Week_Num_31
-88522785747.71764,Week_Num_32
-88522785732.52184,Week_Num_33
-88522785670.88414,Week_Num_34
-88522785550.37717,Week_Num_35
-88522785339.39105,Week_Num_36
-88522785340.90831,Week_Num_37
-88522785385.9753,Week_Num_38
-88522785443.79765,Week_Num_39
-88522785449.29219,Week_Num_40
-88522785589.14825,Week_Num_41
-88522785581.97969,Week_Num_42
-88522784733.49611,Week_Num_43
-88522785417.32527,Week_Num_44
-88522785322.4303,Week_Num_45
-88522785216.93822,Week_Num_46
-88522785068.72469,Week_Num_47
-88522784892.60509,Week_Num_48
-88522784622.8699,Week_Num_49
-88522784301.81573,Week_Num_50
-88522783677.85724,Week_Num_51
-88522784101.89716,Week_Num_52
-92081187921.05165,Week_Num_53
